subj_type_iri,pred_iri,obj_type_iri,subj,pred,obj,count_A,count_B,pct_A,pct_B,abs_pct_diff,product_contrib
https://w3id.org/bot#Space,https://w3id.org/bot#adjacentZone,https://w3id.org/bot#Space,Space,adjacentZone,Space,1506,518,0.3420395185101067,0.17394224311618536,0.16809727539392136,780108
https://w3id.org/bot#Space,https://w3id.org/bot#adjacentElement,http://quantecton.com/kb/BuildingDesign#ExteriorWall,Space,adjacentElement,ExteriorWall,172,401,0.03906427435839201,0.13465413028878442,0.09558985593039242,68972
https://w3id.org/bot#Space,https://w3id.org/bot#adjacentElement,http://quantecton.com/kb/BuildingDesign#FloorSlab,Space,adjacentElement,FloorSlab,131,56,0.0297524415171474,0.01880456682337139,0.010947874693776009,7336
https://w3id.org/bot#Space,https://w3id.org/bot#adjacentZone,http://quantecton.com/kb/BuildingDesign#Bathroom,Space,adjacentZone,Bathroom,20,336,0.0045423574835339545,0.11282740094022835,0.10828504345669439,6720
http://quantecton.com/kb/BuildingDesign#ExteriorWall,http://purl.obolibrary.org/obo/BFO_0000178,http://quantecton.com/kb/concrete_composition_and_property#PortionOfHardenedConcrete,ExteriorWall,BFO_0000178,PortionOfHardenedConcrete,19,174,0.004315239609357257,0.05842847548690396,0.054113235877546705,3306
https://w3id.org/bot#Space,https://w3id.org/bot#adjacentElement,http://quantecton.com/kb/BuildingDesign#CurtainWall,Space,adjacentElement,CurtainWall,52,61,0.011810129457188281,0.02048354600402955,0.008673416546841268,3172
http://quantecton.com/kb/BuildingDesign#Stairwell,https://w3id.org/bot#adjacentZone,https://w3id.org/bot#Space,Stairwell,adjacentZone,Space,32,56,0.0072677719736543266,0.01880456682337139,0.011536794849717064,1792
https://w3id.org/bot#Space,https://w3id.org/bot#adjacentZone,http://quantecton.com/kb/BuildingDesign#Stairwell,Space,adjacentZone,Stairwell,32,56,0.0072677719736543266,0.01880456682337139,0.011536794849717064,1792
http://quantecton.com/kb/BuildingDesign#Bathroom,https://w3id.org/bot#adjacentZone,http://quantecton.com/kb/BuildingDesign#Bathroom,Bathroom,adjacentZone,Bathroom,6,202,0.0013627072450601862,0.06783075889858965,0.06646805165352947,1212
https://w3id.org/bot#Space,https://w3id.org/bot#adjacentZone,http://quantecton.com/kb/BuildingDesign#Corridor,Space,adjacentZone,Corridor,14,47,0.003179650238473768,0.0157824042981867,0.012602754059712933,658
http://quantecton.com/kb/BuildingDesign#Bathroom,https://w3id.org/bot#adjacentElement,http://quantecton.com/kb/BuildingDesign#ExteriorWall,Bathroom,adjacentElement,ExteriorWall,2,242,0.0004542357483533954,0.08126259234385494,0.08080835659550155,484
